fx_rate_timestamp,USDAUD,USDCAD,USDCHF,USDEUR,USDGBP,USDSGD
2021-46-47 00:46:47,1.392816,1.28751,0.92732,0.8886,0.75675,1.36827
2021-40-45 00:40:45,1.3933,1.28758,0.92737,0.88885,0.75672,1.36833
2021-34-44 00:34:44,1.394078,1.28747,0.92739,0.888652,0.75673,1.36837
2021-28-42 00:28:42,1.39729,1.2876,0.92742,0.88891,0.7567,1.368
2021-22-40 00:22:40,1.3963,1.28761,0.92736,0.88885,0.75668,1.36831
2021-16-39 00:16:39,1.39595,1.28776,0.92722,0.88879,0.75668,1.3681
2021-10-37 00:10:37,1.3956,1.28794,0.92738,0.88881,0.75676,1.36842
2021-04-36 00:04:36,1.39573,1.28797,0.92725,0.8886,0.75682,1.36835
2021-58-34 23:58:34,1.395381,1.28802,0.9274,0.8888,0.75679,1.36836
2021-52-32 23:52:32,1.394817,1.2879,0.92725,0.888731,0.75674,1.3681
2021-46-31 23:46:31,1.394117,1.28791,0.92724,0.88868,0.75672,1.36833
2021-40-29 23:40:29,1.3947,1.28776,0.92716,0.8886,0.75672,1.36806
2021-34-27 23:34:27,1.394447,1.28805,0.9273,0.8886,0.75683,1.36834
2021-28-26 23:28:26,1.393923,1.28804,0.92738,0.88872,0.75684,1.3686
2021-22-24 23:22:24,1.393728,1.28809,0.92742,0.88878,0.75684,1.36857
2021-16-23 23:16:23,1.3933,1.28836,0.92738,0.88865,0.75674,1.36844
2021-10-21 23:10:21,1.39367,1.28715,0.92614,0.8875,0.75568,1.36749
2021-04-20 23:04:20,1.3939,1.28742,0.92587,0.88739,0.75547,1.36792
2021-58-18 22:58:18,1.394856,1.28563,0.92537,0.88685,0.7546,1.36685
2021-52-16 22:52:16,1.3945,1.28545,0.92541,0.88666,0.75434,1.36691
2021-46-15 22:46:15,1.394817,1.28473,0.9252,0.88617,0.75414,1.3663
2021-40-13 22:40:13,1.394817,1.28456,0.92476,0.88585,0.75419,1.36666
2021-34-12 22:34:12,1.395011,1.28405,0.92431,0.88532,0.75364,1.36595
2021-28-10 22:28:10,1.394117,1.28385,0.92444,0.88554,0.75381,1.36641
2021-22-08 22:22:08,1.3939,1.28427,0.92425,0.8855,0.75405,1.36655
2021-16-07 22:16:07,1.394311,1.28465,0.92465,0.8857,0.75407,1.3663
2021-10-05 22:10:05,1.395089,1.28441,0.92466,0.88585,0.75402,1.36631
2021-04-04 22:04:04,1.393923,1.28383,0.9244,0.88565,0.75387,1.3654
2021-58-02 21:58:02,1.39392,1.284,0.9243,0.88555,0.75407,1.3653
2021-52-00 21:52:00,1.39386,1.28392,0.92435,0.88539,0.75393,1.3656
2021-45-59 21:45:59,1.393728,1.28384,0.92443,0.8853,0.75401,1.3654
2021-39-57 21:39:57,1.39334,1.28375,0.9243,0.88532,0.75391,1.3658
2021-33-56 21:33:56,1.3937,1.2835,0.9244,0.88537,0.75387,1.3655
2021-27-54 21:27:54,1.39367,1.28343,0.92445,0.8853,0.75397,1.3652
2021-21-52 21:21:52,1.39373,1.2832,0.92442,0.8853,0.75399,1.36545
2021-15-51 21:15:51,1.3937,1.28318,0.92448,0.88543,0.75401,1.36524
2021-09-49 21:09:49,1.394059,1.28321,0.9242,0.88532,0.75394,1.3648
2021-03-48 21:03:48,1.393553,1.2832,0.9247,0.8857,0.75392,1.3649
2021-57-46 20:57:46,1.394253,1.28319,0.92491,0.8855,0.7539,1.36518
2021-51-44 20:51:44,1.395245,1.2834,0.9254,0.8856,0.754,1.36599
2021-45-43 20:45:43,1.39515,1.28346,0.9255,0.8852,0.7536,1.3658
2021-39-41 20:39:41,1.395109,1.28296,0.9249,0.8853,0.753409,1.36429
2021-33-40 20:33:40,1.39509,1.28324,0.9238,0.88524,0.75397,1.36543
2021-27-38 20:27:38,1.3962,1.2835,0.9249,0.88526,0.754,1.3653
2021-21-36 20:21:36,1.39624,1.28343,0.9238,0.8852,0.75361,1.3658
2021-15-35 20:15:35,1.39628,1.2835,0.9242,0.8853,0.7539,1.3656
2021-09-33 20:09:33,1.397077,1.28338,0.923,0.88539,0.75372,1.3656
2021-03-32 20:03:32,1.399952,1.28323,0.924,0.88523,0.75369,1.36554
2021-57-30 19:57:30,1.40013,1.28324,0.9239,0.885,0.75364,1.36548
2021-51-28 19:51:28,1.401778,1.28315,0.9242,0.8851,0.7536,1.36499
2021-50-33 19:50:33,1.40221,1.2832,0.92443,0.88559,0.75385,1.36533
2021-50-21 19:50:21,1.402072,1.28342,0.92443,0.8854,0.7538,1.3652
2021-50-10 19:50:10,1.4013,1.28337,0.9242,0.88536,0.753636,1.36521
2021-49-53 19:49:53,1.401522,1.2835,0.92433,0.88553,0.7538,1.36528
2021-49-48 19:49:48,1.401345,1.2832,0.92417,0.8853,0.7537,1.3647
2021-49-44 19:49:44,1.40166,1.28351,0.924,0.8855,0.75375,1.3649
2021-49-39 19:49:39,1.401974,1.28356,0.9244,0.8855,0.75391,1.36573
2021-49-34 19:49:34,1.401856,1.28397,0.92472,0.8857,0.75441,1.36601
2021-49-30 19:49:30,1.40188,1.28403,0.92482,0.8857,0.75425,1.3656
2021-49-25 19:49:25,1.401738,1.28418,0.92498,0.88613,0.75443,1.36599
2021-49-21 19:49:21,1.40166,1.28441,0.92501,0.886,0.75448,1.36625
2021-49-08 19:49:08,1.401522,1.28481,0.92518,0.8861,0.7546,1.36643
2021-49-04 19:49:04,1.401267,1.28362,0.92509,0.88599,0.75416,1.36592
2021-48-59 19:48:59,1.40131,1.2837,0.925,0.88618,0.75435,1.3656
2021-48-54 19:48:54,1.40127,1.28368,0.92528,0.88616,0.75424,1.36543
